Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
14-09-22,5.57,5.57,5.86,5.86,5.86,5.86,6.57,6.57
15-09-22,5.86,5.57,5.57,5.86,5.86,5.86,5.86,6.57
16-09-22,10.29,5.86,5.57,5.57,5.86,5.86,5.86,5.86
17-09-22,10.29,10.29,5.86,5.57,5.57,5.86,5.86,5.86
18-09-22,10.29,10.29,10.29,5.86,5.57,5.57,5.86,5.86
19-09-22,10.29,10.29,10.29,10.29,5.86,5.57,5.57,5.86
20-09-22,10.29,10.29,10.29,10.29,10.29,5.86,5.57,5.57
21-09-22,10.43,10.29,10.29,10.29,10.29,10.29,5.86,5.57
22-09-22,10.14,10.43,10.29,10.29,10.29,10.29,10.29,5.86
23-09-22,10.57,10.14,10.43,10.29,10.29,10.29,10.29,10.29
24-09-22,10.57,10.57,10.14,10.43,10.29,10.29,10.29,10.29
25-09-22,10.57,10.57,10.57,10.14,10.43,10.29,10.29,10.29
26-09-22,10.57,10.57,10.57,10.57,10.14,10.43,10.29,10.29
27-09-22,10.71,10.57,10.57,10.57,10.57,10.14,10.43,10.29
28-09-22,10.57,10.71,10.57,10.57,10.57,10.57,10.14,10.43
29-09-22,10.57,10.57,10.71,10.57,10.57,10.57,10.57,10.14
30-09-22,4.57,10.57,10.57,10.71,10.57,10.57,10.57,10.57
01-10-22,6.0,4.57,10.57,10.57,10.71,10.57,10.57,10.57
02-10-22,6.0,6.0,4.57,10.57,10.57,10.71,10.57,10.57
03-10-22,6.0,6.0,6.0,4.57,10.57,10.57,10.71,10.57
04-10-22,5.86,6.0,6.0,6.0,4.57,10.57,10.57,10.71
05-10-22,5.86,5.86,6.0,6.0,6.0,4.57,10.57,10.57
06-10-22,5.86,5.86,5.86,6.0,6.0,6.0,4.57,10.57
07-10-22,12.29,5.86,5.86,5.86,6.0,6.0,6.0,4.57
08-10-22,10.86,12.29,5.86,5.86,5.86,6.0,6.0,6.0
09-10-22,10.86,10.86,12.29,5.86,5.86,5.86,6.0,6.0
10-10-22,10.86,10.86,10.86,12.29,5.86,5.86,5.86,6.0
11-10-22,10.86,10.86,10.86,10.86,12.29,5.86,5.86,5.86
12-10-22,10.86,10.86,10.86,10.86,10.86,12.29,5.86,5.86
13-10-22,10.86,10.86,10.86,10.86,10.86,10.86,12.29,5.86
14-10-22,5.0,10.86,10.86,10.86,10.86,10.86,10.86,12.29
15-10-22,5.0,5.0,10.86,10.86,10.86,10.86,10.86,10.86
16-10-22,5.0,5.0,5.0,10.86,10.86,10.86,10.86,10.86
17-10-22,5.0,5.0,5.0,5.0,10.86,10.86,10.86,10.86
18-10-22,5.0,5.0,5.0,5.0,5.0,10.86,10.86,10.86
19-10-22,5.14,5.0,5.0,5.0,5.0,5.0,10.86,10.86
20-10-22,5.14,5.14,5.0,5.0,5.0,5.0,5.0,10.86
21-10-22,6.71,5.14,5.14,5.0,5.0,5.0,5.0,5.0
22-10-22,6.71,6.71,5.14,5.14,5.0,5.0,5.0,5.0
23-10-22,6.71,6.71,6.71,5.14,5.14,5.0,5.0,5.0
24-10-22,6.71,6.71,6.71,6.71,5.14,5.14,5.0,5.0
25-10-22,6.71,6.71,6.71,6.71,6.71,5.14,5.14,5.0
26-10-22,6.57,6.71,6.71,6.71,6.71,6.71,5.14,5.14
27-10-22,6.57,6.57,6.71,6.71,6.71,6.71,6.71,5.14
28-10-22,4.0,6.57,6.57,6.71,6.71,6.71,6.71,6.71
29-10-22,4.0,4.0,6.57,6.57,6.71,6.71,6.71,6.71
30-10-22,4.0,4.0,4.0,6.57,6.57,6.71,6.71,6.71
31-10-22,4.0,4.0,4.0,4.0,6.57,6.57,6.71,6.71
01-11-22,4.0,4.0,4.0,4.0,4.0,6.57,6.57,6.71
02-11-22,4.0,4.0,4.0,4.0,4.0,4.0,6.57,6.57
03-11-22,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.57
04-11-22,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
